1,2020-01-01,2020,1,1
2,2020-01-02,2020,1,2
3,2020-01-03,2020,1,3
4,2020-01-04,2020,1,4
5,2020-01-05,2020,1,5
6,2020-01-06,2020,1,6
7,2020-01-07,2020,1,7
8,2020-01-08,2020,1,8
9,2020-01-09,2020,1,9
10,2020-01-10,2020,1,10
11,2020-01-11,2020,1,11
12,2020-01-12,2020,1,12
13,2020-01-13,2020,1,13
14,2020-01-14,2020,1,14
15,2020-01-15,2020,1,15
16,2020-01-16,2020,1,16
17,2020-01-17,2020,1,17
18,2020-01-18,2020,1,18
19,2020-01-19,2020,1,19
20,2020-01-20,2020,1,20
21,2020-01-21,2020,1,21
22,2020-01-22,2020,1,22
23,2020-01-23,2020,1,23
24,2020-01-24,2020,1,24
25,2020-01-25,2020,1,25
26,2020-01-26,2020,1,26
27,2020-01-27,2020,1,27
28,2020-01-28,2020,1,28
29,2020-01-29,2020,1,29
30,2020-01-30,2020,1,30
31,2020-01-31,2020,1,31
32,2020-02-01,2020,2,1
33,2020-02-02,2020,2,2
34,2020-02-03,2020,2,3
35,2020-02-04,2020,2,4
36,2020-02-05,2020,2,5
37,2020-02-06,2020,2,6
38,2020-02-07,2020,2,7
39,2020-02-08,2020,2,8
40,2020-02-09,2020,2,9
41,2020-02-10,2020,2,10
42,2020-02-11,2020,2,11
43,2020-02-12,2020,2,12
44,2020-02-13,2020,2,13
45,2020-02-14,2020,2,14
46,2020-02-15,2020,2,15
47,2020-02-16,2020,2,16
48,2020-02-17,2020,2,17
49,2020-02-18,2020,2,18
50,2020-02-19,2020,2,19
51,2020-02-20,2020,2,20
52,2020-02-21,2020,2,21
53,2020-02-22,2020,2,22
54,2020-02-23,2020,2,23
55,2020-02-24,2020,2,24
56,2020-02-25,2020,2,25
57,2020-02-26,2020,2,26
58,2020-02-27,2020,2,27
59,2020-02-28,2020,2,28
60,2020-02-29,2020,2,29
61,2020-03-01,2020,3,1
62,2020-03-02,2020,3,2
63,2020-03-03,2020,3,3
64,2020-03-04,2020,3,4
65,2020-03-05,2020,3,5
66,2020-03-06,2020,3,6
67,2020-03-07,2020,3,7
68,2020-03-08,2020,3,8
69,2020-03-09,2020,3,9
70,2020-03-10,2020,3,10
71,2020-03-11,2020,3,11
72,2020-03-12,2020,3,12
73,2020-03-13,2020,3,13
74,2020-03-14,2020,3,14
75,2020-03-15,2020,3,15
76,2020-03-16,2020,3,16
77,2020-03-17,2020,3,17
78,2020-03-18,2020,3,18
79,2020-03-19,2020,3,19
80,2020-03-20,2020,3,20
81,2020-03-21,2020,3,21
82,2020-03-22,2020,3,22
83,2020-03-23,2020,3,23
84,2020-03-24,2020,3,24
85,2020-03-25,2020,3,25
86,2020-03-26,2020,3,26
87,2020-03-27,2020,3,27
88,2020-03-28,2020,3,28
89,2020-03-29,2020,3,29
90,2020-03-30,2020,3,30
91,2020-03-31,2020,3,31
92,2020-04-01,2020,4,1
93,2020-04-02,2020,4,2
94,2020-04-03,2020,4,3
95,2020-04-04,2020,4,4
96,2020-04-05,2020,4,5
97,2020-04-06,2020,4,6
98,2020-04-07,2020,4,7
99,2020-04-08,2020,4,8
100,2020-04-09,2020,4,9
101,2020-04-10,2020,4,10
102,2020-04-11,2020,4,11
103,2020-04-12,2020,4,12
104,2020-04-13,2020,4,13
105,2020-04-14,2020,4,14
106,2020-04-15,2020,4,15
107,2020-04-16,2020,4,16
108,2020-04-17,2020,4,17
109,2020-04-18,2020,4,18
110,2020-04-19,2020,4,19
111,2020-04-20,2020,4,20
112,2020-04-21,2020,4,21
113,2020-04-22,2020,4,22
114,2020-04-23,2020,4,23
115,2020-04-24,2020,4,24
116,2020-04-25,2020,4,25
117,2020-04-26,2020,4,26
118,2020-04-27,2020,4,27
119,2020-04-28,2020,4,28
120,2020-04-29,2020,4,29
121,2020-04-30,2020,4,30
122,2020-05-01,2020,5,1
123,2020-05-02,2020,5,2
124,2020-05-03,2020,5,3
125,2020-05-04,2020,5,4
126,2020-05-05,2020,5,5
127,2020-05-06,2020,5,6
128,2020-05-07,2020,5,7
129,2020-05-08,2020,5,8
130,2020-05-09,2020,5,9
131,2020-05-10,2020,5,10
132,2020-05-11,2020,5,11
133,2020-05-12,2020,5,12
134,2020-05-13,2020,5,13
135,2020-05-14,2020,5,14
136,2020-05-15,2020,5,15
137,2020-05-16,2020,5,16
138,2020-05-17,2020,5,17
139,2020-05-18,2020,5,18
140,2020-05-19,2020,5,19
141,2020-05-20,2020,5,20
142,2020-05-21,2020,5,21
143,2020-05-22,2020,5,22
144,2020-05-23,2020,5,23
145,2020-05-24,2020,5,24
146,2020-05-25,2020,5,25
147,2020-05-26,2020,5,26
148,2020-05-27,2020,5,27
149,2020-05-28,2020,5,28
150,2020-05-29,2020,5,29
